Transaction_ID,Customer_Name,Age,Gender,Income,Join_Date,Purchase_Amount,Is_Subscribed,City
TRX-2824,Alice M.,999.0,F,N/A,09/09/2021,279.91229358673843,True,los angeles
TRX-1409,Alice M.,22.0,m,,2021-06-07,158.38405699334928,No,
TRX-5506,Frank_Wright,-4.0,,127874,10/15/2022,256.2608409232187,True,   Chicago
TRX-5012,Grace!!,-4.0,f,,02/17/2022,471.387424055612,False,   Chicago
TRX-4657,Alice M.,999.0,Male ,Unknown,30-09-2023,332.7791079580396,N,New York
TRX-3286,Charlie,,  Female,,,306.5180648523092,N,new york
TRX-2679,Grace!!,999.0,  Female,43978,08-06-2020,286.17283687133494,Y,N.Y.
TRX-9935,Hannah,37.0,f,,,23.903009070450032,0,   Chicago
TRX-2424,Eva,-4.0,Femal,N/A,05-05-2022,,Y,
TRX-7912,BOB JOHNSON,,  Female,,12-02-2020,292.6179034239157,0,chicago
TRX-1520,Grace!!,-3.0,f,N/A,31-07-2022,999999.99,False,N.Y.
TRX-1488,BOB JOHNSON,0.0,f,N/A,06/13/2022,323.1056841823465,1,Chicago
TRX-2535,Charlie,0.0,Male ,N/A,2023/15/01,317.31036504606135,0,N.Y.
TRX-4582,Eva,50.0,m,Unknown,27-09-2021,478.75858327765843,N,LA
TRX-4811,david,-2.0,m,N/A,2021-03-29,404.29719556570916,N,Los Angeles
TRX-9279,Frank_Wright,18.0,m,Unknown,2023/15/01,155.74259700057374,No,New York
TRX-1434,Grace!!,80.0,F,110723,16-12-2021,,0,N.Y.
TRX-4257,Frank_Wright,,Female,"$120,262",08/14/2023,,False,N.Y.
TRX-9928,jane smith,45.0,F,"$100,517",10/26/2020,247.283053752606,No,new york
TRX-7873,BOB JOHNSON,78.0,f,112952,2020-12-21,307.2635287821118,No,Chicago
TRX-4611,BOB JOHNSON,999.0,Female,,,361.99781370509436,Yes,N.Y.
TRX-8359,jane smith,27.0,  Female,91583,2023/15/01,431.7809092196194,N,   Chicago
TRX-5557,david,20.0,M,48492,03-07-2023,74.07541426066936,Y,N.Y.
TRX-1106,John Doe,,F,95864,,285.2090957167009,Y,los angeles
